Nabors Industries Ltd,0.0
"(NYSE:NBR) Q4 2019 Results Conference Call February 21, 2020 11:00 AM ET
Company Participants
Denny Smith - Senior Vice President of Corporate Development
Tony Petrello - Chairman, President and Chief Executive Officer
William Restrepo - Chief Financial Officer
Siggi Meissner - President, Global Drilling Organization
Conference Call Participants
Waqar Syed - AltaCorp Capital
Chris Voie - Wells Fargo
Kurt Hallead - RBC Capital Markets
Jonathan Hunter - Cowen and Company
Sean Meakim - JP Morgan
Operator
Good morning, and welcome to the Nabors' fourth quarter earnings release conference call",0.0
All participants will be in listen-only mode,0.0
[Operator Instructions],0.0
"After today's presentation, there will be an opportunity to ask questions",0.0
Please note this event is being recorded,0.0
"
I would now like to turn the conference over to Denny Smith, Senior Vice President of Corporate Development",0.4
Please go ahead,0.1
"
Denny Smith
Good morning, everyone",1.0
Thank you for joining Nabors' Fourth Quarter and Full Year 2019 Earnings Conference Call,0.9
"Today, we will follow our customary format, with Tony Petrello, our Chairman, President and Chief Executive Officer; and William Restrepo, our Chief Financial Officer, providing their perspectives on the quarter's results along with insights into our markets and how we expect Nabors to perform in these markets",0.1
"
In support of these remarks, a slide deck is available both as a download within the webcast and in the Investor Relations section of nabors",0.0
com,0.0
Instructions for the replay of this call are posted on the website as well,0.0
"With us today, in addition to Tony, William and myself, are Siggi Meissner, President of our Global Drilling Organization; and other members of the senior management team",0.1
"
Since much of our commentary today will include our forward expectations, they may constitute forward-looking statements within the meaning of the Securities Act of 1933 and the Securities Exchange Act of 1934",-0.4
Such forward-looking statements are subject to certain risks and uncertainties as disclosed by Nabors from time to time in our filings with the Securities and Exchange Commission,-1.0
"As a result of these factors, our actual results may vary materially from those indicated or implied by such forward-looking statements",-0.5
"
Also, during the call, we may discuss certain non-GAAP financial measures such as net debt, adjusted operating income, adjusted EBITDA and free cash flow",-0.7
"All references to EBITDA made by either Tony or William during their presentations, whether qualified by the word adjusted or otherwise, mean adjusted EBITDA as that term is defined on our website and in our earnings release",-0.1
"
Likewise, unless the context clearly indicates otherwise, reference to cash flow means free cash flow as that non-GAAP measure is defined in our earnings release",0.8
We have posted to the Investor Relations section of our website a reconciliation of these non-GAAP financial measures to the most recently comparable GAAP measures,-0.1
"
Now, I will turn the call over to Tony to begin",0.2
"
Tony Petrello
Good morning",1.0
Thank you for joining us as we review our results for the fourth quarter and full year 2019,1.0
Our remarks will follow the usual format,0.0
"I will begin with comments on the market, our results and the outlook",0.0
William will follow with details and I will then wrap up,0.0
Now to the macro,0.3
"During the fourth quarter, the price of near-month WTI averaged just under $57",-0.1
This was essentially flat with the third quarter average,-0.8
"
During the fourth quarter, the trend in pricing was solidly upward",-0.1
The quarter began sub $54 and then did above $61,-0.1
Natural gas prices were essentially flat averaging just over $2,-0.5
40 per Mcf during the fourth quarter,0.0
"In the most recent quarterly Dallas Fed Energy Survey, half of E&amp;P respondent reported using WTI in the $53 to $56 range for the 2020 capital planning",0.3
"Since the beginning of 2020, the price of near month WTI has declined from $61 to $51",0.0
Oil prices are reacting to fears of reduced economic growth and crude oil demand in China and elsewhere,-1.0
"

These fears have been triggered by the recent coronavirus outbreak in China",-1.0
The impact to global oil demand is uncertain,-0.9
The reports estimate consumption in China has declined by as much as 3 million barrels per day,0.0
"At the same time, OPEC has proposed temporary production cut to mitigate the lower demand",0.0
"As I anticipated on our prior earnings call, industrywide drilling activity in the Lower 48 declined through the end of the year",-0.1
"
This reduction resulted from the combination of limited access to capital as well as investor pressure to generate free cash flow",0.4
"During the fourth quarter, the average US Lower 48 land industry rig count declined by 97 rigs, and a 11% reduction from the third quarter average",-1.0
I will have some more thoughts on this when I cover our quarterly customer surveys in a few minutes,0.0
"
For our international markets, the macro picture remains positive",0.9
"Pricing is improving, activity is increasing",0.8
"In most markets, the level of oil prices has continued to support incremental activity even after the recent softening",0.8
The typical international customer in NOC or IOC is increasingly committed to longer-term development plans,0.0
"
As such, we expect improving conditions across most of our markets to drive incremental rig demand",-0.6
"Fourth quarter adjusted EBITDA of $203 million solidly in line with our expectations held up well, despite the reductions in the US activity",0.8
"Sequentially, our Canada Drilling Solutions, US offshore and international operations, all recorded improvement",0.7
Our Lower 48 average rig count declined by ten rigs,-1.0
Daily gross margin was essentially flat as somewhat higher average revenue per day was offset by a similar increase in daily operational expenses,-0.2
"In our International segment, adjusted EBITDA increased by about 1% despite a significant reduction in amortizing revenue following recent contract renewal",0.0
"
This improvement reflects better operating performance across several markets",1.0
"In other segment, Drilling Solutions improved sequentially even as market conditions deteriorated",-1.0
This marks three quarters of sequential improvement in NDS,0.7
Canada results increased with the seasonal lift in drilling activity,0.0
"
Rig Technologies declined as sales of capital equipment tailed off into the end of the year",-0.5
"Now, let me discuss our view of the market in more detail",0.2
"During the fourth quarter, the industry rig count in the Lower 48 averaged 790 rigs",-1.0
"Last week, the rig count stood at 757, that is down by 17 rigs from the end of the fourth quarter, which stood at 774, a 2% reduction",-1.0
"Over the past 12 months, the rig counts declined by 259 rigs or 26%",-1.0
"
For the full year 2019, Nabors' Lower 48 rig count outperformed the industry",-1.0
Our full year average rig count improved by 1% as the industry rig count dropped by 9%,-0.5
Our largest peers also experienced significant drops on rig count,-1.0
This performance validates our positioning in the market,0.1
"We believe we offer the best combination of rigs, technology, safety and operational excellence",1.0
"
During the fourth quarter, a steep drop in natural gas prices had a dramatic impact on rig counts and pricing in predominantly gas basins",-1.0
"Activity dropped sharply in the Rockies, Haynesville, Mid-Continent and Marcellus",-0.4
